Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
17,Amari Williams,24,PF,21,2,6.5,0.4,0.9,0.474,0,0,NA,0.4,0.9,0.474,0.474,0.5,0.7,0.714,0.4,1.4,1.9,0.4,0.1,0.5,0.5,0.8,1.3,
18,Dalano Banton,26,PG,3,0,5,0.3,1.7,0.2,0,0,NA,0.3,1.7,0.2,0.2,0.7,0.7,1,0,0,0,0.7,0,0.3,0.3,0.3,1.3,
19,Charles Bassey,25,C,5,0,3.4,1.2,1.4,0.857,0,0,NA,1.2,1.4,0.857,0.857,0.4,0.8,0.5,0.8,0.4,1.2,0,0.2,0.4,0.2,0.6,2.8,
20,John Tonje,24,SG,5,0,2.4,0,0.4,0,0,0.4,0,0,0,NA,0,0.4,0.4,1,0,0.4,0.4,0.2,0.2,0,0,0.2,0.4,
21,Max Shulga,23,SG,9,0,1.4,0.1,0.4,0.25,0,0.1,0,0.1,0.3,0.333,0.25,0.2,0.2,1,0.1,0,0.1,0.2,0,0,0.1,0.6,0.4,
NA,Team Totals,NA,,79,79,240.6,42.2,90.3,0.467,15.2,41.8,0.364,26.9,48.4,0.556,0.551,15.1,18.7,0.804,12.6,33.9,46.5,24.5,7.1,5,12.3,18.9,114.6,
1,Jalen Brunson,29,PG,72,72,35,9.3,20,0.464,2.7,7.2,0.37,6.6,12.8,0.516,0.53,4.8,5.8,0.841,0.4,2.9,3.4,6.8,0.8,0.1,2.4,2.3,26,AS
2,OG Anunoby,28,PF,65,65,33.4,5.9,12.2,0.486,2.4,6.1,0.388,3.5,6,0.585,0.584,2.8,3.4,0.826,1.3,4,5.3,2.2,1.6,0.7,1.9,2.4,17,
3,Mikal Bridges,29,SF,79,79,33.3,5.9,12,0.488,1.9,5.2,0.369,3.9,6.8,0.579,0.568,1,1.2,0.825,1,2.9,3.9,3.7,1.3,0.8,1,2,14.7,
4,Karl-Anthony Towns,30,C,73,73,31,6.9,13.8,0.499,1.5,4.1,0.37,5.4,9.7,0.554,0.554,4.8,5.6,0.855,3.1,8.7,11.9,3,0.9,0.5,2.5,3.4,20.1,AS
5,Josh Hart,30,SF,64,50,30.1,4.5,9,0.506,1.5,3.7,0.406,3.1,5.3,0.575,0.589,1.3,1.9,0.723,1.5,6.1,7.5,4.9,1.1,0.3,1.9,2.5,11.9,
6,Miles McBride,25,SG,39,14,26.6,4.2,9.8,0.422,2.7,6.7,0.412,1.4,3.2,0.444,0.561,0.9,1.1,0.814,0.6,1.9,2.5,2.6,0.8,0.2,0.8,1.8,11.9,
7,Landry Shamet,28,SG,49,12,22.9,3.2,7.2,0.439,2,5.2,0.392,1.1,2,0.561,0.581,1.1,1.6,0.711,0.4,1.4,1.8,1.4,0.6,0.2,0.6,1.5,9.5,
8,Mitchell Robinson,27,C,59,16,19.6,2.5,3.4,0.723,0,0,NA,2.5,3.4,0.723,0.723,0.7,1.7,0.406,4.2,4.5,8.8,0.9,0.9,1.2,0.7,2.1,5.6,
9,Jordan Clarkson,33,SG,69,1,17.8,3.3,7.3,0.451,1,3.1,0.332,2.3,4.3,0.536,0.52,1.1,1.3,0.826,0.9,0.9,1.8,1.3,0.4,0.1,0.9,1.7,8.7,
10,Jose Alvarado,27,PG,26,2,16.2,2.3,5.7,0.408,1,3.2,0.317,1.3,2.5,0.523,0.497,0.5,0.6,0.75,0.3,1.5,1.8,3.7,1,0.1,1.1,1.8,6.1,
11,Tyler Kolek,24,PG,62,1,11.7,1.7,4,0.435,0.7,1.8,0.386,1,2.2,0.478,0.524,0.2,0.3,0.7,0.3,1.3,1.6,2.7,0.4,0.1,0.9,1,4.4,
12,Guerschon Yabusele,30,C,41,0,8.9,1,2.6,0.393,0.5,1.7,0.294,0.5,1,0.564,0.486,0.2,0.3,0.667,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,2.7,
13,Ariel Hukporti,23,C,52,4,8.8,0.7,1.3,0.544,0,0.1,0.25,0.7,1.2,0.563,0.551,0.5,0.6,0.788,1,1.8,2.8,0.5,0.2,0.5,0.6,1.2,1.9,
14,Mohamed Diawara,20,SF,67,6,8.8,1.3,3,0.436,0.7,1.8,0.39,0.6,1.2,0.506,0.554,0.2,0.3,0.737,0.2,1.1,1.3,0.7,0.2,0.1,0.4,0.7,3.6,
15,Kevin McCullar Jr.,24,SF,20,0,6.5,0.7,1.8,0.389,0.3,0.9,0.333,0.4,0.9,0.444,0.472,0.1,0.3,0.4,0.5,0.8,1.3,1,0.4,0,0.6,0.9,1.8,
16,Jeremy Sochan,22,PF,14,0,6.1,0.9,1.5,0.619,0,0.3,0,0.9,1.2,0.765,0.619,0.4,0.6,0.75,0.5,1.4,1.9,0.5,0.4,0.1,0.2,0.5,2.3,
